,Distance
0,5.6596
1,4.6923
2,1.4377
3,2.2956
4,1.7662
5,1.6396
6,0.8211
7,0.4065
8,1.308
9,0.8074
10,0.4622
11,0.32380000000000003
12,0.7544
13,0.8637999999999999
14,0.6512
15,1.0304
16,0.8745
17,0.9326
18,1.0178
19,1.0018
20,0.8745
21,0.6761
22,1.0018
23,0.8112999999999999
24,2.0844
25,0.682
26,2.8321
27,1.8665999999999998
28,2.4733
29,4.653
30,2.0834
31,3.0391
32,0.4502
33,7.1175
34,3.4341999999999997
35,5.7452
36,0.3065
37,5.4334
38,1.0575999999999999
39,0.5584
40,2.7485
41,1.8355
42,3.2626
43,2.1999
44,1.1887
45,1.7965
46,1.8564
47,4.9883999999999995
48,4.4953
49,7.226
50,7.7746
51,3.8192
52,7.1896
53,2.4938000000000002
54,3.08
55,0.7597
56,0.4572
57,1.1468
58,1.9516
59,0.6581
60,0.5403
61,0.9102
62,0.6581
63,0.7263
64,2.9246
65,1.6556
66,2.6768
67,1.3207
68,0.30589999999999995
69,1.5597
70,0.2877
71,0.6012000000000001
72,1.4461
73,1.2555
74,1.4807000000000001
75,1.3119
76,0.9311
77,0.9569
78,1.1696
79,1.2244000000000002
80,
81,0.6974
82,1.0945
83,1.967
84,2.026
85,1.8697000000000001
86,6.7473
87,3.6033000000000004
88,4.5876
89,0.9518
90,0.8855
91,1.5577999999999999
92,2.0853
93,3.0744000000000002
94,1.555
95,1.8645
96,2.2139
97,1.1465999999999998
98,3.009
99,2.9454000000000002
100,7.7395
101,5.8486
102,6.8565
103,4.499899999999999
104,8.4534
105,0.2171
106,1.3222
107,0.9609
108,2.7485
109,1.3237
110,2.2952
111,1.745
112,2.4459
113,4.0675
114,4.138
115,3.1456
116,1.8675
117,1.4401
118,3.6726
119,2.1269
120,3.7167
121,2.4594
122,1.2003
123,0.2093
124,12.128
125,5.7477
126,12.2399
127,9.3325
128,6.0598
129,12.3294
130,6.2433000000000005
131,13.0559
132,1.0242
133,1.0708
134,1.5211
135,5.1548
136,0.8917
137,1.609
138,1.016
139,0.8734
140,1.6405
141,0.9903
142,0.7539
143,1.5785
144,1.7689000000000001
145,2.6619
146,1.4526
147,0.7609
148,1.3516
149,1.1707
150,1.7801
151,2.0619
152,1.6222
153,1.6667
154,3.2897
155,3.2713
156,8.841299999999999
157,7.5522
158,5.8498
159,3.1546999999999996
160,
161,5.541399999999999
162,5.2848999999999995
163,3.3693
164,3.2253000000000003
165,3.2949
166,1.2279
167,0.057
168,1.3325
169,0.7985
170,0.9268
171,0.991
172,0.8786
173,0.8976000000000001
174,2.3179000000000003
175,1.2678
176,2.3295
177,3.1003000000000003
178,2.1660999999999997
179,2.3303000000000003
180,2.9949
181,2.176
182,1.299
183,3.8859
184,2.4618
185,3.2762
186,4.6875
187,2.1702
188,1.6964000000000001
189,2.0338
190,4.7723
191,3.5711999999999997
192,6.7841000000000005
193,5.6448
194,3.9846999999999997
195,0.48660000000000003
196,1.039
197,1.1237000000000001
198,1.8292
199,1.6072
200,2.7735
201,0.8476
202,1.3817000000000002
203,2.9119
204,0.9511000000000001
205,3.1824
206,0.4094
207,1.9502000000000002
208,10.8675
209,12.8589
210,4.697
211,11.2229
212,11.946
213,2.8146
214,13.2615
215,13.145299999999999
216,10.302700000000002
217,11.9645
218,3.9646
219,9.0662
220,3.5529
221,1.4289
222,3.9215
223,4.5193
224,12.324399999999999
225,9.1541
226,11.2099
227,11.9551
228,10.879299999999999
229,0.7871
230,1.67
231,8.7405
232,9.8623
233,2.3154
234,9.056799999999999
235,2.4853
236,8.905700000000001
237,13.475700000000002
238,5.796600000000001
239,11.107899999999999
240,0.4487
241,1.4458
242,1.5688
243,1.7359
244,1.7359
245,0.5118
246,1.2341
247,1.5440999999999998
248,1.6636
249,0.49319999999999997
250,1.1013
251,1.1525
