,Distance
0,2.6711
1,1.7039000000000002
2,2.3003
3,2.0078
4,2.8325
5,0.7926
6,1.3728
7,1.4698
8,1.579
9,3.0863
10,1.1425999999999998
11,1.9208
12,1.2252
13,0.9357000000000001
14,0.2809
15,0.6361
16,0.4163
17,0.4744
18,0.5738
19,0.5436
20,0.4163
21,0.30569999999999997
22,0.5436
23,0.3508
24,1.9215
25,1.0717
26,2.0818000000000003
27,1.3411
28,1.723
29,1.8055
30,2.1245
31,2.8947
32,0.8412999999999999
33,4.480600000000001
34,1.6890999999999998
35,4.6414
36,0.5744
37,3.6952
38,3.1659
39,2.6026
40,3.7396
41,3.1083000000000003
42,4.8167
43,3.738
44,4.697100000000001
45,3.8598000000000003
46,5.1667
47,1.2421
48,1.8177
49,8.1796
50,7.855300000000001
51,9.2989
52,8.1432
53,5.0417
54,3.8301
55,4.1716999999999995
56,3.3590999999999998
57,4.1126000000000005
58,3.4038000000000004
59,3.3747
60,4.2525
61,5.0216
62,3.3747
63,3.0859
64,2.0168
65,2.0088
66,1.8079
67,2.4945
68,2.1463
69,2.6887
70,2.1645
71,1.6538
72,0.7211000000000001
73,0.4091
74,0.7891
75,0.8229
76,2.7601
77,2.4857
78,2.7836
79,0.7916
80,
81,2.2666
82,2.7085
83,3.5932
84,4.6796999999999995
85,3.6603000000000003
86,3.2973000000000003
87,1.2093
88,3.1985
89,3.9519
90,3.3818
91,3.4944
92,3.6219
93,5.9947
94,4.1182
95,4.499
96,1.3902
97,4.4195
98,2.0423
99,1.9788
100,5.648899999999999
101,3.935
102,2.4645
103,4.672899999999999
104,4.7876
105,4.8552
106,4.791300000000001
107,5.422
108,3.5803000000000003
109,4.325699999999999
110,3.8679
111,1.127
112,2.5831999999999997
113,3.7189
114,4.9648
115,3.3895
116,3.2771999999999997
117,2.5279000000000003
118,7.1788
119,3.2146999999999997
120,7.1495
121,0.6516000000000001
122,2.8633
123,2.4831999999999996
124,7.361800000000001
125,4.6178
126,7.4737
127,5.489
128,4.9299
129,7.5633
130,5.1133999999999995
131,5.6082
